site_protocol_code,range_code,survey_point_number,deployment_cycle,range_name,aru_sampling_rate,aru_recording_time_in_seconds,aru_sleep_time_in_seconds,aru_sampling_times,first_file_date,first_file_time,last_file_date,last_file_time,notes,latitude,longitude,elevation_in_metres
WISO_PO14_D2,WISO,PO14,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241223,173000,20250122,112000,NA,13.264815,-61.15767167,378.6626587
WISO_PO14_D3,WISO,PO14,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250211,111000,20250304,51000,NA,13.264815,-61.15767167,378.6626587
WISO_PO14_D4,WISO,PO14,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,123000,20250430,122000,NA,13.264815,-61.15767167,378.6626587
WISO_PO14_D5,WISO,PO14,D5,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,100000,20250613,44000,NA,13.264815,-61.15767167,378.6626587
WISO_PO15_D1,WISO,PO15,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250108,123000,20250128,124000,NA,13.25442,-61.15609,353.1323547
WISO_PO15_D2,WISO,PO15,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250212,112000,20250221,111000,NA,13.25442,-61.15609,353.1323547
WISO_PO15_D3,WISO,PO15,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,100000,20250430,115000,NA,13.25442,-61.15609,353.1323547
WISO_PO15_D4,WISO,PO15,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250520,100000,20250531,185000,NA,13.25442,-61.15609,353.1323547
WISO_PO16_D1,WISO,PO16,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241121,104000,20241223,113000,NA,13.240105,-61.16677167,428.756073
WISO_PO16_D2,WISO,PO16,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250108,104000,20250128,111000,NA,13.240105,-61.16677167,428.756073
WISO_PO16_D3,WISO,PO16,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250212,100000,20250312,65000,NA,13.240105,-61.16677167,428.756073
WISO_PO16_D4,WISO,PO16,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,101000,20250427,50000,NA,13.240105,-61.16677167,428.756073
WISO_PO16_D5,WISO,PO16,D5,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250520,100000,20250617,111000,NA,13.240105,-61.16677167,428.756073
WISO_PO17_D1,WISO,PO17,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241114,100000,20241121,43000,NA,13.23639833,-61.15699667,373.0372925
WISO_PO17_D2,WISO,PO17,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250102,130000,20250129,65000,NA,13.23639833,-61.15699667,373.0372925
WISO_PO17_D3,WISO,PO17,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250217,130000,20250316,110000,NA,13.23639833,-61.15699667,373.0372925
WISO_PO17_D4,WISO,PO17,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250402,100000,20250502,44000,NA,13.23639833,-61.15699667,373.0372925
WISO_PO18_D1,WISO,PO18,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241114,105000,20241217,112000,NA,13.22158667,-61.18319833,546.3132935
WISO_PO18_D2,WISO,PO18,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250102,110000,20250127,102000,NA,13.22158667,-61.18319833,546.3132935
WISO_PO18_D3,WISO,PO18,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250217,105000,20250317,121000,NA,13.22158667,-61.18319833,546.3132935
WISO_PO9_D1,WISO,PO9,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,173000,20241210,124000,NA,13.30494833,-61.14471,253.8547211
WISO_PO9_D2,WISO,PO9,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241219,125000,20250115,101000,NA,13.30494833,-61.14471,253.8547211
WISO_PO9_D3,WISO,PO9,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250205,101000,20250302,45000,NA,13.30494833,-61.14471,253.8547211
WISO_PO9_D4,WISO,PO9,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250402,100000,20250427,100000,NA,13.30494833,-61.14471,253.8547211
WISO_PO9_D5,WISO,PO9,D5,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,173000,20250616,65000,NA,13.30494833,-61.14471,253.8547211
